# DiversMap 統合地点データ
# フォーマット: id,name,category,subcategory,district,postal_code,address,phone,hours,access,website_url,description,tags,source,lat,lng
#
# category: transit / hazard / accessible / food / tourism / shopping / medical / other
# tags: | 区切りのタグ（バリアフリー設備・店舗特徴など）
# lat/lng: 省略可（空欄でマップに表示しない）
#
# 追加・修正はこのファイルを直接編集してください（再ビルド不要）
# 既存施設データを更新する場合は dart run tool/migrate_to_places.dart を再実行
id,name,category,subcategory,district,postal_code,address,phone,hours,access,website_url,description,tags,source,lat,lng
bf_0020,今宿公民館,accessible,官公庁舎・公共施設,西区,810-0162,福岡市西区今宿青木１３８－１,092-806-0242,,西鉄下青木バス停から徒歩3分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、児童等集会室、和室、地域団体室、研修室、事務室、印刷室） ・老人いこいの家,エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|乗り降りしやすい駐車場|筆談対応|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|小児用便器|オストメイト対応設備|温水洗浄便座|駐車場|洋式トイレ|自動ドア|全館禁煙,市データ,33.571239,130.275497
bf_0021,今宿野外活動センター,accessible,官公庁舎・公共施設,西区,819-0163,福岡市西区今宿上ノ原２１７番地の２,092-806-3114,,JR今宿駅から今宿姪浜線乗合マイクロバス,http://www.sg-shiteikanri.jp/imajyuku/,福岡市西区の山の麓に立地した野外活動センターです。ロッジやテントでの宿泊や日帰りによる野外調理活動、広大な芝生広場,乗り降りしやすい駐車場|温水洗浄便座,市データ,33.555443,130.277283
bf_0022,今津運動公園,accessible,官公庁舎・公共施設,西区,819-0165,福岡市西区今津字津本２２０１,092-807-6625,,昭和バス今津運動公園前バス停から徒歩1分,http://imazu-sportspark.jp/,ＡＥＤが管理事務所内に設置してあります。,車いす貸出|車いす対応自動販売機|車いす対応公衆電話|バリアフリートイレ|段差無し|乗り降りしやすい駐車場|屋内のおむつ交換スペース|ベビーチェア|授乳室|キッズルーム|全館禁煙,市データ,33.60981,130.252151
bf_0023,今津公民館,accessible,官公庁舎・公共施設,西区,819-0165,福岡市西区今津２１３１－３,092-806-2021,,昭和バス 福祉村施設前バス停から徒歩約3分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、児童等集会室、和室、地域団体室、研修室、事務室、印刷室） ・老人いこいの家,エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|乗り降りしやすい駐車場|筆談対応|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|小児用便器|オストメイト対応設備|温水洗浄便座|駐車場|洋式トイレ|自動ドア|全館禁煙,市データ,33.607765,130.253494
bf_0024,入部公民館,accessible,官公庁舎・公共施設,早良区,811-1102,福岡市早良区東入部２丁目１４－１４,092-803-1247,,西鉄バス 東入部第一バス停から徒歩約２分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室） ・老人いこいの家,エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|筆談対応|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|小児用便器|オストメイト対応設備|温水洗浄便座|全館禁煙,市データ,33.518345,130.335632
bf_0025,内野公民館,accessible,官公庁舎・公共施設,早良区,811-1123,福岡市早良区内野８丁目１－５,092-804-8512,,西鉄バス 内野公民館前バス停から徒歩約１分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室）,バリアフリートイレ|段差無し|乗り降りしやすい駐車場|親子トイレ|全館禁煙,市データ,33.497475,130.340576
bf_0026,内野公民館 曲渕分館,accessible,官公庁舎・公共施設,早良区,811-1133,福岡市早良区大字曲渕７００－１,,,西鉄曲渕バス停から徒歩１分,,・公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室） ・老人いこいの家,エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|小児用便器|温水洗浄便座|全館禁煙,市データ,33.495369,130.298462
bf_0027,内野人権のまちづくり館,accessible,官公庁舎・公共施設,早良区,811-1123,福岡市早良区内野２－３－１４,092-804-4520,,西鉄内野バス停から徒歩5分,,,エレベーター|バリアフリートイレ|段差無し|乗り降りしやすい駐車場|屋内のおむつ交換スペース|ベビーチェア|オストメイト対応設備|温水洗浄便座|全館禁煙,市データ,33.500065,130.336823
bf_0028,内浜公民館,accessible,官公庁舎・公共施設,西区,819-0001,福岡市西区小戸４－１１－３２,092-882-1371,,西鉄都橋バス停から徒歩5分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、児童等集会室、和室、地域団体室、事務室） ・老人いこいの家,エレベーター|バリアフリートイレ|障がい者等対応エレベーター|筆談対応|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|温水洗浄便座|駐車場|洋式トイレ|自動ドア|全館禁煙,市データ,33.585506,130.31868
bf_0029,福岡市地下鉄 梅林駅,accessible,公共交通機関,城南区,814-0144,福岡市城南区梅林４丁目,092-894-7800,,,https://subway.city.fukuoka.lg.jp/eki/stations/ume.php,駅務室にＡＥＤがあります。,車いす貸出|車いす対応公衆電話|エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|文字案内|筆談対応|点字（誘導）ブロック|点字案内|音声案内|ほじょ犬の同伴可能|トイレのおむつ交換スペース|ベビーチェア|お子さま、お子さま連れの方への割引|公衆電話|障がいのある方、高齢者の方への割引|介助用ベッド、大型ベッド、ユニバーサルシート|オストメイト対応設備|温水洗浄便座|洋式トイレ|全館禁煙,市データ,33.544327,130.354385
